iter	RMSE	MSLE
840	3.111335779	0.2089251829
841	3.111319769	0.2089231049
842	3.11129303	0.2089200726
843	3.111271877	0.2089174579
844	3.111254421	0.2089152849
845	3.111218208	0.2089100276
846	3.111188123	0.2089059515
847	3.111142357	0.2089027556
848	3.111112953	0.2088989792
849	3.111081283	0.2088953076
850	3.111054734	0.2088918161
851	3.11103741	0.2088902974
852	3.110999189	0.2088864998
853	3.11096894	0.2088822735
854	3.110929629	0.2088772698
855	3.110906851	0.2088744621
856	3.11086706	0.2088689528
857	3.110833266	0.208864364
858	3.110822531	0.2088632292
859	3.11079589	0.2088587566
860	3.110760299	0.2088532588
861	3.110746853	0.2088514225
862	3.110715697	0.208846412
863	3.110685925	0.2088431137
864	3.110655609	0.2088393655
865	3.110633466	0.2088356815
866	3.110611176	0.2088324952
867	3.110558016	0.2088282863
868	3.110541865	0.2088259455
869	3.110507177	0.2088213959
870	3.110484371	0.2088186833
871	3.110477357	0.2088179468
872	3.110452803	0.2088143809
873	3.110425524	0.2088107611
874	3.110401847	0.2088076363
875	3.110377856	0.208804755
876	3.110353129	0.2088011344
877	3.110333448	0.2087988063
878	3.110301893	0.2087947083
879	3.110277757	0.208791938
880	3.11024318	0.2087867722
881	3.110215775	0.2087835909
882	3.110195875	0.2087808432
883	3.1101688	0.2087775231
884	3.110147343	0.2087750702
885	3.110124422	0.2087721996
886	3.110096393	0.2087690285
887	3.110072646	0.2087663837
888	3.110043475	0.2087625625
889	3.110019719	0.2087590252
890	3.10998679	0.2087552015
891	3.109950378	0.2087512643
892	3.109918616	0.2087472765
893	3.109875364	0.2087414982
894	3.109852015	0.2087387758
895	3.109831962	0.208736286
896	3.109799507	0.208732554
897	3.109743104	0.2087272253
898	3.109703173	0.2087217035
899	3.109689329	0.2087198502
900	3.109661251	0.2087157542
901	3.109630088	0.2087119228
902	3.109597445	0.2087078469
903	3.109578466	0.2087053741
904	3.109554138	0.2087026125
905	3.109526135	0.2086986007
906	3.109497764	0.2086949104
907	3.109473118	0.2086915102
908	3.109440435	0.2086867146
909	3.109403719	0.2086820443
910	3.109384073	0.208680049
911	3.109337611	0.208676579
912	3.109306982	0.2086727885
913	3.109278664	0.2086687577
